ID,標籤,主旨,主分類,次分類,檔案名稱,類型,路徑,啟用,負責人,創建日期,最後更新人,最後更新日期
d969edfc-8c5b-41c9-ace3-0a2983139df8, ,電話分機表申請流程,BPM,操作手冊,電話分機表_使用者操作手冊__V01.mht,html,http://sai-wsus12/faq/BPM/電話分機表_使用者操作手冊__V01.mht,Y,SystemTransfert,2014/06/10,SystemTransfert,2014/06/10
f5eb224d-8185-48a9-b9de-c15a4c2b3ca3, ,進口貨物請購單,BPM,操作手冊,BPM_進口貨物請購單操作流程.mht,html,http://sai-wsus12/faq/BPM/BPM_進口貨物請購單操作流程.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
03be2b38-2c0b-4fc8-8e54-eb0915f7d8bd, ,來訪人員預定申請單,BPM,操作手冊,BPM_來訪人員預定申請單_V1.0.mht,html,http://sai-wsus12/faq/BPM/BPM_來訪人員預定申請單_V1.0.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
78a4309d-eb8d-4aa3-a727-db458c2e3fa1, ,SAP迴轉簽核,BPM,操作手冊,BPM_SAP.mht,html,http://sai-wsus12/faq/BPM/BPM_SAP.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
05bebb13-3cfd-4d78-9d8d-3bbcce348622, ,非責任制間接人員加班計劃表,BPM,操作手冊,BPM_非責任制加班計劃表操作流程.mht,html,http://sai-wsus12/faq/BPM/BPM_非責任制加班計劃表操作流程.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
c497a80f-4d08-4ea4-89a9-8fb7f66e51cf, ,航太零件申請,BPM,操作手冊,BPM_航太零件開發.mht,html,http://sai-wsus12/faq/BPM/BPM_航太零件開發.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
051237d2-9a1a-4fa0-8008-5876a9e345a8, ,試製通知單,BPM,操作手冊,試製通知單_V1.0.mht,html,http://sai-wsus12/faq/BPM/試製通知單_V1.0.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
deace7b7-974c-4281-9381-d530b2d8347b, ,SAI公佈欄,BPM,操作手冊,SAI公佈欄_V03.mht,html,http://sai-wsus12/faq/BPM/SAI公佈欄_V03.mht,Y,SystemTransfert,2014/09/24,SystemTransfert,2014/09/24
baebb55a-de62-4371-bfab-607b62709a49, ,程式版本指示表移轉單,BPM,操作手冊,BPM_操作手冊_T0003_程式版本指示表移轉單_V1.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_T0003_程式版本指示表移轉單_V1.0.0.mht,Y,SystemTransfert,2015/05/28,SystemTransfert,2015/05/28
d78624ab-802a-46f8-833c-30679f7f769d, ,生產程式使用申請表,BPM,操作手冊,BPM_操作手冊_T0004_生產程式使用申請表_V1.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_T0004_生產程式使用申請表_V1.0.0.mht,Y,SystemTransfert,2015/05/28,SystemTransfert,2015/05/28
